text,label
college scholarship for a student based on education and category,scholarship
student scholarship for higher education fees,scholarship
merit scholarship for university students,scholarship
financial scholarship support for school students,scholarship
education grant and scholarship application,scholarship
scholarship for technical degree student,scholarship
paid internship opportunity for young graduates,internship
government internship for students and youth,internship
work experience internship programme,internship
professional internship placement in a public programme,internship
internship with training and stipend,internship
youth internship opportunity in India,internship
government job vacancy application,job
public sector job and recruitment notice,job
government employment opportunity,job
job listing for public service recruitment,job
vacancy for a government department role,job
career search for government jobs,job
farmer income support scheme,welfare
welfare benefit for rural families,welfare
government support scheme for eligible households,welfare
financial assistance scheme for farmers,welfare
social welfare programme benefits,welfare
government benefit and assistance scheme,welfare
